编号,产品名称,类别,返佣比例,Cookie时长,推广链接,中英文,备注/亮点
230,Romantic AI,12-情感AI/陪伴,30% recurring,30天,https://romanticai.com/,英文,AI 女友
231,MindStudio Agent Store,13-多Agent平台/创作者经济,20% × 18月,30天,https://youai.ai/affiliates,英文,无代码 AI 代理 200+ 模型
232,AgentPlace.io,13-多Agent平台/创作者经济,30% recurring,30天,https://agentplace.io/affiliates,英文,Agent 市场
233,Voiceflow Marketplace,13-多Agent平台/创作者经济,20% recurring,30天,https://www.voiceflow.com/affiliates,英文,AI 语音应用市场
234,Stack AI,13-多Agent平台/创作者经济,20% recurring,30天,https://www.stack-ai.com/,英文,无代码 AI 代理
235,Relevance AI,13-多Agent平台/创作者经济,20% recurring,30天,https://relevanceai.com/,英文,AI Agent 团队
236,MultiOn,13-多Agent平台/创作者经济,暂无公开,—,https://www.multion.ai/,英文,AI 浏览器代理
237,Adept AI,13-多Agent平台/创作者经济,暂无公开,—,https://www.adept.ai/,英文,AI 行动代理
238,AutoGPT,13-多Agent平台/创作者经济,开源/众筹,—,https://agpt.co/,英文,开源 AI 代理
239,CrewAI,13-多Agent平台/创作者经济,暂无公开,—,https://www.crewai.com/,英文,多 Agent 协作框架
240,LangGraph,13-多Agent平台/创作者经济,暂无公开,—,https://langchain.com/langgraph,英文,LangChain 多 Agent
241,Flowise,13-多Agent平台/创作者经济,开源,—,https://flowiseai.com/,英文,开源 LLM 编排
242,Dify,13-多Agent平台/创作者经济,20% recurring,30天,https://dify.ai/,中英,开源 LLM 应用平台
243,扣子 (Coze),13-多Agent平台/创作者经济,暂无公开,—,https://www.coze.cn/,中文,字节系 Agent 平台
244,腾讯元器,13-多Agent平台/创作者经济,暂无公开,—,https://yuanqi.tencent.com/,中文,腾讯系 Agent 平台
245,百度千帆 AppBuilder,13-多Agent平台/创作者经济,10%-20%,30天,https://cloud.baidu.com/product/AppBuilder,中文,百度系 Agent 平台
246,阿里云百炼应用,13-多Agent平台/创作者经济,10%-20%,30天,https://bailian.console.aliyun.com/,中文,阿里系 Agent 平台
247,Salesforce Einstein,14-传统行业+AI,20%-30%,90天,https://www.salesforce.com/affiliates,英文,CRM 巨头+AI
248,Zoho AI (Zia),14-传统行业+AI,15% recurring,30天,https://www.zoho.com/affiliates,中英,中小企业 CRM+AI
249,ServiceNow AI,14-传统行业+AI,企业合作,—,https://www.servicenow.com/partners,英文,企业 IT 服务+AI
250,Workday AI,14-传统行业+AI,企业合作,—,https://www.workday.com/en-us/partners.html,英文,HR SaaS+AI
251,Veeva AI,14-传统行业+AI,企业合作,—,https://www.veeva.com/,英文,医药 CRM+AI
252,Cerner AI,14-传统行业+AI,企业合作,—,https://www.oracle.com/health/,英文,医疗 IT+AI
253,Epic AI,14-传统行业+AI,企业合作,—,https://www.epic.com/,英文,医疗 EHR+AI
254,Procore AI,14-传统行业+AI,$50-$200/单,30天,https://www.procore.com/affiliates,英文,建筑 SaaS+AI
255,Autodesk AI,14-传统行业+AI,10%-15%,30天,https://www.autodesk.com/affiliates,英文,CAD+AI
256,PTC AI (Creo),14-传统行业+AI,企业合作,—,https://www.ptc.com/,英文,CAD/PLM+AI
257,UiPath AI,14-传统行业+AI,20% recurring,30天,https://www.uipath.com/affiliates,英文,RPA+AI
258,Automation Anywhere,14-传统行业+AI,20% recurring,30天,https://www.automationanywhere.com/affiliates,英文,RPA+AI
259,Blue Prism,14-传统行业+AI,企业合作,—,https://www.blueprism.com/,英文,RPA 企业级
260,DocuSign AI (CLM),14-传统行业+AI,25% recurring,30天,https://www.docusign.com/affiliates,中英,电子签+AI 合同
261,Ironclad AI,14-传统行业+AI,20% recurring,30天,https://ironcladapp.com/,英文,法务合同 AI
262,LinkSquares AI,14-传统行业+AI,20% recurring,30天,https://linksquares.com/,英文,合同管理 AI
263,LawGeex AI,14-传统行业+AI,20% recurring,30天,https://lawgeex.com/,英文,AI 合同审查
264,Evisort AI,14-传统行业+AI,20% recurring,30天,https://www.evisort.com/,英文,AI 合同智能
265,Harvey AI (法律),14-传统行业+AI,企业销售,—,https://www.harvey.ai/,英文,顶级律所 AI 助手
266,Carta AI,14-传统行业+AI,20% recurring,30天,https://carta.com/affiliates,英文,股权管理+AI
267,Brex AI,14-传统行业+AI,企业销售,—,https://www.brex.com/,英文,企业卡+AI
268,Ramp AI,14-传统行业+AI,$500-$1500/单,30天,https://ramp.com/affiliates,英文,企业卡+AI
269,Mercury AI,14-传统行业+AI,企业销售,—,https://mercury.com/,英文,创业银行+AI
270,Pilot AI (bookkeeping),14-传统行业+AI,20% recurring,30天,https://pilot.com/,英文,AI 记账
271,Bench AI (bookkeeping),14-传统行业+AI,$200-$500/单,30天,https://bench.co/affiliates,英文,AI 记账
272,Xero AI,14-传统行业+AI,区域定制,—,https://www.xero.com/affiliates,英文,中小企业会计+AI
273,QuickBooks AI,14-传统行业+AI,区域定制,—,https://quickbooks.intuit.com/affiliates,中英,中小企业会计+AI
274,FreshBooks AI,14-传统行业+AI,Up to $200/客,30天,https://www.freshbooks.com/affiliates,英文,中小企业会计+AI
275,Plumb AI,14-传统行业+AI,20% recurring,30天,https://plumb.ai/,英文,AI 行业 SaaS
276,Jobber AI,14-传统行业+AI,20% recurring,30天,https://getjobber.com/affiliates,英文,家政服务+AI
277,ServiceTitan AI,14-传统行业+AI,企业合作,—,https://www.servicetitan.com/,英文,家政 SaaS 龙头
278,Housecall Pro AI,14-传统行业+AI,$50-$150/单,30天,https://www.housecallpro.com/affiliates,英文,家政服务+AI
279,Mindbody AI,14-传统行业+AI,企业合作,—,https://www.mindbodyonline.com/,英文,美业 SaaS
280,Booksy AI,14-传统行业+AI,20% recurring,30天,https://booksy.com/,英文,美业预约+AI
281,Square AI,14-传统行业+AI,—,—,https://squareup.com/,中英,线下支付+AI
282,Toast AI,14-传统行业+AI,$100-$500/单,30天,https://pos.toasttab.com/affiliates,英文,餐饮 SaaS+AI
283,TouchBistro AI,14-传统行业+AI,20% recurring,30天,https://www.touchbistro.com/affiliates,英文,餐饮 POS+AI
284,Lightspeed AI,14-传统行业+AI,20% recurring,30天,https://www.lightspeedhq.com/affiliates,英文,零售 POS+AI
285,Shopify POS AI,14-传统行业+AI,（同 Shopify）,30天,https://www.shopify.com/affiliates,中英,线下零售+AI
286,DataCamp,15-AI教育/课程,30%-100%/Sale,45天,https://www.datacamp.com/affiliates,英文,Python/ML/数据科学最高返佣
287,Udacity,15-AI教育/课程,$100/Lead,30天,https://www.udacity.com/affiliates,英文,AI/云计算/网络安全 Nanodegree
288,Simplilearn,15-AI教育/课程,10%/Sale,30天,https://www.simplilearn.com/affiliates,英文,机器学习认证
289,Coursera,15-AI教育/课程,10%-45%/Sale,30天,https://www.coursera.org/affiliates,英文,Deep Learning 认证
290,edX,15-AI教育/课程,5%-10%/Sale,60天,https://www.edx.org/affiliates,英文,计算机科学/数据分析
291,Pluralsight,15-AI教育/课程,10%-50%/Sale,—,https://www.pluralsight.com/affiliates,英文,开发/IT 含 AI 方向
292,Skillshare,15-AI教育/课程,$7/Sale,30天,https://www.skillshare.com/affiliates,英文,在线课程平台
293,Udemy,15-AI教育/课程,15%/Sale,7天,https://www.udemy.com/affiliates,中英,全球课程平台
294,MasterClass,15-AI教育/课程,25%/Sale,30天,https://www.masterclass.com/affiliates,英文,顶级专家课程
295,Teachable,15-AI教育/课程,30% Recurring,90天,https://teachable.com/affiliates,英文,创作者卖课平台
296,Thinkific,15-AI教育/课程,30% Recurring,90天,https://www.thinkific.com/affiliates,英文,创作者卖课
297,Podia,15-AI教育/课程,30% Recurring,15天,https://www.podia.com/affiliates,英文,创作者卖课
298,Kajabi,15-AI教育/课程,30% Recurring,30天,https://kajabi.com/affiliates,英文,一体化知识付费
299,LearnWorlds,15-AI教育/课程,30% Recurring,90天,https://www.learnworlds.com/affiliates,英文,在线学校
300,Speak,15-AI教育/课程,25% recurring,60天,https://www.speak.com/affiliates,英文,AI 英语学习
301,Babbel,15-AI教育/课程,$32/Sale,45天,https://www.babbel.com/affiliates,英文,在线语言学习
302,Lingvanex,16-AI翻译/写作辅助,20% recurring,30天,https://lingvanex.com/,中英,多语言翻译 API
303,DeepL Pro,16-AI翻译/写作辅助,20%-30% recurring,30天,https://www.deepl.com/pro,中英,AI 翻译龙头
304,QuillBot,04-AI写作/内容,Up to 20% recurring,30天,https://quillbot.com/affiliates,英文,改写+语法
305,Grammarly,04-AI写作/内容,$20/订阅,90天,https://www.grammarly.com/affiliates,中英,全球 AI 写作辅助
306,Wordtune,04-AI写作/内容,20% recurring,60天,https://www.wordtune.com/affiliates,英文,AI 改写
307,ProWritingAid,04-AI写作/内容,$20 + $0.20/lead,30天,https://prowritingaid.com/affiliates,英文,写作助手
308,Hemingway Editor,04-AI写作/内容,20% recurring,30天,https://hemingwayapp.com/,英文,写作清晰度检查
309,Suno AI,17-AI音乐/加密/其他,积分推荐机制,—,https://suno.com/,英文,AI 音乐生成邀请双方得积分
310,Udio,17-AI音乐/加密/其他,暂无公开,—,https://udio.com/,英文,AI 音乐
311,Boomy AI,17-AI音乐/加密/其他,20% recurring,30天,https://www.boomy.com/,英文,AI 音乐生成+发行
312,MusicAPI,17-AI音乐/加密/其他,20% recurring,30天,https://musicapi.ai/affiliates,英文,AI 音乐生成 API
313,LANDR AI,17-AI音乐/加密/其他,$50/单,30天,https://www.landr.com/affiliates,英文,AI 母带处理
314,Cryptohopper,17-AI音乐/加密/其他,Up to 15% recurring,30天,https://www.cryptohopper.com/affiliate-program,英文,AI 加密交易机器人
315,Token Metrics,17-AI音乐/加密/其他,40% recurring,30天,https://tokenmetrics.com/affiliates,英文,AI 加密投资分析
316,3Commas,17-AI音乐/加密/其他,Up to 50% recurring,30天,https://3commas.io/affiliate,英文,AI 加密交易
317,Coinrule,17-AI音乐/加密/其他,Up to 30% recurring,30天,https://coinrule.com/affiliate,英文,AI 加密交易机器人
318,Pionex,17-AI音乐/加密/其他,Up to 20% recurring,30天,https://www.pionex.com/affiliate,英文,AI 加密交易
319,Bitdefender,17-AI音乐/加密/其他,50% 终身,30天,https://www.bitdefender.com/affiliates,中英,全球杀毒软件 AI 加持
320,KrispCall,17-AI音乐/加密/其他,30% 终身,30天,https://krispcall.com/affiliates,英文,AI 电话系统
321,Time Doctor,17-AI音乐/加密/其他,30% recurring,30天,https://www.timedoctor.com/affiliates,英文,AI 远程工时
322,1Password,17-AI音乐/加密/其他,$2/注册 + 25% 首年/月,45天,https://1password.com/affiliates,中英,密码管理器
323,Heyboss,07-AI编程/开发/Agent,20% 终身,30天,https://www.heyboss.com/affiliate,英文,AI 一句话建站
324,MarkovML,17-AI音乐/加密/其他,20% recurring,30天,https://markovml.com/affiliates,英文,AI 决策平台
325,Originality.ai,17-AI音乐/加密/其他,20% recurring,30天,https://originality.ai/affiliates,英文,AI 内容检测
326,Turnitin,17-AI音乐/加密/其他,暂无公开,—,https://turnitin.com/,英文,学术 AI 检测
327,Tugan.ai,10-AI营销/销售/CRM,30% recurring,30天,https://www.tugan.ai/,英文,AI 营销内容生成
328,M1 Project,10-AI营销/销售/CRM,30% recurring,30天,https://www.m1-project.com/,英文,AI 营销内容
329,TubeBuddy,21-YouTube/视频专题,Up to 50% 终身,终身,https://www.tubebuddy.com/affiliates,英文,YouTube 工具+AI
330,VidIQ,21-YouTube/视频专题,Up to 30% 终身,30-60天,https://vidiq.com/affiliates,英文,YouTube SEO+AI
331,Aider (aider.chat),07-AI编程/开发/Agent,开源,—,https://aider.chat/,英文,开源 AI 编程工具
332,Cursor 中文站,07-AI编程/开发/Agent,私下 KOL 合作,—,https://cursor.sh/cn,中英,Cursor 非官方中文资源站
333,Zoom AI Companion,18-AI视频会议,20% recurring,30天,https://zoom.us/affiliates,中英,视频会议+AI
334,Microsoft Teams AI,18-AI视频会议,暂无公开,—,https://www.microsoft.com/microsoft-teams,中英,Teams+Copilot
335,Google Meet AI,18-AI视频会议,暂无公开,—,https://meet.google.com/,中英,Meet+Gemini
336,Fireflies.ai,18-AI视频会议,20% recurring,30天,https://fireflies.ai/affiliates,英文,AI 会议笔记
337,Fathom,18-AI视频会议,30% recurring,30天,https://fathom.video/affiliates,英文,AI 会议转录
338,tl;dv,18-AI视频会议,20% recurring,30天,https://tldv.io/affiliates,英文,AI 会议记录
339,MeetGeek,18-AI视频会议,30% recurring,30天,https://meetgeek.ai/affiliates,英文,AI 会议 50+ 语言
340,Hootsuite,19-AI社媒/营销,30% recurring (12月),90天,https://www.hootsuite.com/affiliates,英文,社媒管理
341,Buffer,19-AI社媒/营销,$300-$700/单,30天,https://buffer.com/affiliates,英文,社媒管理
342,Loom,19-AI社媒/营销,20%-25% recurring,90天,https://www.loom.com/affiliates,英文,AI 录屏
343,Riverside.fm,19-AI社媒/营销,30% recurring (12月),60天,https://riverside.fm/affiliates,英文,录制+AI
344,Ocoya,19-AI社媒/营销,20% recurring,90天,https://ocoya.com/affiliates,英文,AI 社媒内容
345,Predis.ai,19-AI社媒/营销,30% recurring,30天,https://predis.ai/affiliates,英文,AI 社媒生成
346,ContentStudio,19-AI社媒/营销,30% recurring,30天,https://contentstudio.io/affiliates,英文,社媒管理
347,Planable,19-AI社媒/营销,20% recurring,30天,https://planable.io/affiliates,英文,社媒协作
348,聚推客 (jutuike.cn),20-聚合站/导航,聚合返佣,30天,https://www.jutuike.cn/,中文,国内 CPS 聚合一键推广多家
349,AMZ123 / 联脉 (amz123),20-聚合站/导航,聚合返佣,30天,https://www.amz123.com/,中文,跨境联盟营销聚合
350,PartnerStack Market,20-聚合站/导航,多家 AI 联盟,—,https://market.partnerstack.com/,英文,PartnerStack 市场可注册多家
351,Rewardful,20-聚合站/导航,25% recurring,60天,https://www.rewardful.com/affiliate,英文,做自己的联盟计划
352,AI Affiliate Programs Directory,20-聚合站/导航,导航,—,https://affiliate.watch/category/ai,英文,206 个 AI 联盟项目导航
353,Impact (impact.com),20-聚合站/导航,多家 AI 品牌,—,https://impact.com/,英文,全球联盟营销平台
354,ShareASale,20-聚合站/导航,多家品牌,—,https://www.shareasale.com/,英文,老牌联盟平台
355,CJ Affiliate,20-聚合站/导航,多家品牌,—,https://www.cj.com/,英文,全球最大联盟之一
356,Awin,20-聚合站/导航,多家品牌,—,https://www.awin.com/,英文,全球联盟平台
357,Rakuten Advertising,20-聚合站/导航,多家品牌,—,https://rakutenadvertising.com/,英文,全球联盟平台
358,Synthesia (Tier 2),05-AI图像/视频,二级 10%,60天,https://www.synthesia.io/affiliate,英文,可推荐下级代理赚分成
359,Copy.ai Tier 2,04-AI写作/内容,二级 10%,60天,https://www.copy.ai/,英文,Copy.ai 推荐联盟+二级
360,Canva Teams,04-AI写作/内容,团队版高返佣,30天,https://www.canva.com/,中英,Canva 企业版返佣更高
361,Notion Plus AI,09-AI笔记/办公/协作,二级 15%,90天,https://www.notion.com/,中英,Notion 二级分销
362,AdCreative.ai Tier 2,10-AI营销/销售/CRM,二级分销,30天,https://www.adcreative.ai/,英文,可推荐下级代理赚分成
